S. No.,Employee Id,First Name,Last Name,Full Name,Gender,Marital Status,Age,Date Of Birth,Date Of Joining,Date of Leaving,Designation,Department,Work Location,Status,Qualification,Shift Details,Current CTC
1,ASG00001,Dhriti,Nagarajan,Dhriti Nagarajan,Female,Married,37,1988-10-26,2015-01-01,,Regional Sales Lead,Sales,Kolkata,Active,UG,Day,1770000
2,ASG00002,Yashasvi,Vala,Yashasvi Vala,Female,Single,35,1991-06-19,2015-01-01,,Sr Accountant,Finance,Mumbai,Active,UG,Mid,1620000
3,ASG00003,Charan,Kapoor,Charan Kapoor,Male,Single,43,1983-05-20,2015-01-02,,Senior Payroll Analyst,Payroll,Chennai,Active,UG,Mid,2173000
4,ASG00004,Ucchal,Swaminathan,Ucchal Swaminathan,Female,Single,42,1983-11-06,2015-01-02,,Regional Sales Lead,Sales,Chennai,Active,UG,Day,2054000
5,ASG00005,Thomas,Khatri,Thomas Khatri,Male,Married,40,1986-06-15,2015-01-03,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,1974000
6,ASG00006,Aadhya,Buch,Aadhya Buch,Female,Married,48,1978-02-16,2015-01-03,,Payroll Manager,Payroll,Mumbai,Active,PG,Day,2981000
7,ASG00007,Christopher,Mani,Christopher Mani,Male,Married,42,1984-06-03,2015-01-03,,Senior Sales Executive,Sales,Mumbai,Active,PG,Day,2093000
8,ASG00008,Chandran,Sengupta,Chandran Sengupta,Male,Married,49,1977-04-20,2015-01-03,,Sales Manager,Sales,Mumbai,Active,PG,Mid,3076000
9,ASG00009,Aashi,Swaminathan,Aashi Swaminathan,Female,Single,36,1990-09-10,2015-01-04,,Sr Accountant,Finance,Chennai,Active,UG,Night,1711000
10,ASG00010,Nirja,Kade,Nirja Kade,Female,Single,42,1983-09-23,2015-01-04,,Sr Accountant,Finance,Hyderabad,Active,UG,Mid,2080000
11,ASG00011,Sneha,Krishnamurthy,Sneha Krishnamurthy,Female,Married,34,1991-12-21,2015-01-04,,Payroll Analyst,Payroll,Bangalore,Active,PG,Day,1163000
12,ASG00012,Priya,Parikh,Priya Parikh,Female,Married,32,1994-01-30,2015-01-04,,Sales Trainee,Sales,Bangalore,Active,PG,Day,701000
13,ASG00013,Raghav,Varghese,Raghav Varghese,Male,Single,36,1990-07-10,2015-01-04,,Data Analyst,Analytics,Mumbai,Active,UG,Day,1266000
14,ASG00014,Balvan,Oak,Balvan Oak,Male,Married,37,1989-07-23,2015-01-04,,HR Analyst,HR,Mumbai,Active,PG,Day,1305000
15,ASG00015,Chanchal,Yogi,Chanchal Yogi,Female,Married,42,1984-06-01,2015-01-04,,Regional Sales Lead,Sales,Chennai,Active,PG,Night,2091000
16,ASG00016,Mugdha,Mani,Mugdha Mani,Female,Single,33,1993-03-26,2015-01-04,,Senior Payroll Analyst,Payroll,Hyderabad,Active,PG,Day,1484000
17,ASG00017,Veer,Dhaliwal,Veer Dhaliwal,Male,Married,53,1973-03-07,2015-01-04,,Analytics Manager,Analytics,Chennai,Active,UG,Day,3366000
18,ASG00018,Nilima,Bakshi,Nilima Bakshi,Female,Married,32,1994-01-15,2015-01-05,,Sales Trainee,Sales,Hyderabad,Active,PG,Day,708000
19,ASG00019,Qarin,Patla,Qarin Patla,Male,Married,52,1973-11-05,2015-01-06,,Sales Manager,Sales,Hyderabad,Active,UG,Night,3301000
20,ASG00020,Vedhika,Sami,Vedhika Sami,Female,Single,32,1993-12-10,2015-01-06,,Sales Trainee,Sales,Hyderabad,Active,PG,Day,692000
21,ASG00021,Chakradev,Rastogi,Chakradev Rastogi,Male,Married,42,1983-10-10,2015-01-06,,Senior Data Analyst,Analytics,Mumbai,Active,UG,Day,2067000
22,ASG00022,Yahvi,Dada,Yahvi Dada,Female,Married,36,1990-04-05,2015-01-06,,Senior Sales Executive,Sales,Kolkata,Active,UG,Day,1674000
23,ASG00023,Unnati,Toor,Unnati Toor,Female,Married,44,1981-11-22,2015-01-07,2023-01-23,Regional Sales Lead,Sales,Bangalore,Relieved,PG,Day,2199000
24,ASG00024,Xalak,Rao,Xalak Rao,Female,Married,43,1983-01-17,2015-01-07,2026-02-25,Senior Payroll Analyst,Payroll,Bangalore,Relieved,UG,Mid,2148000
25,ASG00025,Kai,Salvi,Kai Salvi,Male,Married,37,1989-07-25,2015-01-07,,Sr Accountant,Finance,Hyderabad,Active,UG,Night,1748000
26,ASG00026,Wakeeta,Varghese,Wakeeta Varghese,Female,Single,48,1978-02-12,2015-01-07,,Analytics Manager,Analytics,Mumbai,Active,UG,Mid,3035000
27,ASG00027,Advik,Kapur,Advik Kapur,Male,Single,38,1987-11-24,2015-01-07,,Payroll Analyst,Payroll,Kolkata,Active,UG,Day,1355000
